name,longitude,latitude,label
隆林各族自治县,105.34404,24.770896,1
那坡县,105.83253,23.387441,1
平果县,107.589809,23.329376,1
田林县,106.228538,24.294487,1
田东县,107.12608,23.597194,1
田阳县,106.915496,23.735692,1
西林县,105.093825,24.489823,1
右江区,106.618225,23.90097,1
崇左市,107.365094,22.377253,1
大新县,107.200654,22.829287,1
扶绥县,107.904186,22.635012,1
江州区,107.353437,22.405325,1
龙州县,106.854482,22.342778,1
宁明县,107.076456,22.140192,1
凭祥市,106.766293,22.094484,1
天等县,107.143432,23.081394,1
防城港市,108.353846,21.68686,1
东兴市,107.971828,21.547821,1
防城区,108.353499,21.769211,1
港口区,108.380143,21.643383,1
上思县,107.983627,22.153671,1
桂林市,110.179953,25.234479,1
叠彩区,110.301723,25.314,1
灌阳县,111.160851,25.489383,1
恭城瑶族自治县,110.828409,24.831682,1
荔浦县,110.395104,24.488342,1
临桂区,110.212463,25.238628,1
灵川县,110.319897,25.394781,1
龙胜各族自治县,110.011238,25.797931,1
平乐县,110.643305,24.633362,1
七星区,110.317826,25.252701,1
全州县,111.072946,25.928387,1
象山区,110.281082,25.261686,1
兴安县,110.67167,25.611704,1
秀峰区,110.264183,25.273625,1
阳朔县,110.496593,24.77848,1
雁山区,110.28669,25.101934,1
永福县,109.983076,24.979855,1
资源县,110.6527,26.042443,1
贵港市,109.598926,23.11153,1
港南区,109.599556,23.075573,1
港北区,109.57224,23.11153,1
桂平市,110.079379,23.394325,1
平南县,110.392311,23.539264,1
覃塘区,109.452662,23.127149,1
河池市,108.085261,24.692931,1
巴马瑶族自治县,107.258588,24.142298,1
大化瑶族自治县,107.998149,23.736457,1
东兰县,107.374293,24.510842,1
都安瑶族自治县,108.105311,23.932675,1
凤山县,107.04219,24.546876,1
环江毛南族自治县,108.258028,24.825664,1
金城江区,108.037276,24.689703,1
罗城仫佬族自治县,108.904706,24.777411,1
南丹县,107.541244,24.975631,1
天峨县,107.173802,24.999108,1
宜州区,108.636414,24.485214,1
贺州市,111.566871,24.403528,1
八步区,111.552095,24.411805,1
富川瑶族自治县,111.27745,24.814443,1
平桂区,111.479923,24.453845,1
昭平县,110.811325,24.169385,1
钟山县,111.303009,24.525957,1
来宾市,109.221465,23.750306,1
合山市,108.886082,23.806535,1
金秀瑶族自治县,110.189462,24.130374,1
武宣县,109.663206,23.59411,1
忻城县,108.665666,24.066234,1
象州县,109.705065,23.973793,1
兴宾区,109.183333,23.72892,1
柳州市,109.428608,24.326291,1
城中区,109.4273,24.366,1
柳城县,109.24473,24.651518,1
柳北区,109.402049,24.362691,1
柳江区,109.32638,24.254891,1
柳南区,109.385518,24.336229,1
鹿寨县,109.750638,24.472897,1
融水苗族自治县,109.256334,25.065934,1
融安县,109.397538,25.224549,1
三江侗族自治县,109.607675,25.783198,1
鱼峰区,109.452442,24.318516,1
南宁市,108.366543,22.817002,1
宾阳县,108.810326,23.217786,1
横县,109.261384,22.679931,1
江南区,108.273133,22.78136,1
良庆区,108.39301,22.752997,1
隆安县,107.696153,23.166028,1
马山县,108.177019,23.708321,1
青秀区,108.494024,22.785879,1
上林县,108.602846,23.431908,1
武鸣区,108.27467,23.158595,1
西乡塘区,108.313494,22.833928,1
兴宁区,108.368871,22.854021,1
邕宁区,108.487368,22.75839,1
钦州市,108.654146,21.979933,1
灵山县,109.291006,22.416536,1
浦北县,109.556953,22.271651,1
钦北区,108.44911,22.132761,1
钦南区,108.657209,21.938859,1
梧州市,111.279115,23.476962,1
苍梧县,111.544007,23.845097,1
岑溪市,110.994913,22.91835,1
龙圩区,111.246606,23.404772,1
蒙山县,110.525003,24.19357,1
藤县,110.914849,23.374983,1
万秀区,111.320518,23.472991,1
长洲区,111.274673,23.485944,1
玉林市,110.18122,22.654032,1
博白县,109.975985,22.273048,1
北流市,110.354214,22.70831,1
福绵区,110.059439,22.585556,1
陆川县,110.264052,22.321048,1
容县,110.558074,22.857839,1
兴业县,109.875304,22.736421,1
玉州区,110.151153,22.628087,1
海南省,110.349228,20.017377,1
儋州市,109.580811,19.521134,1
海头镇,108.953392,19.503315,1
白马井镇,109.218734,19.696407,1
新英湾街道,109.2224,19.745499,1
那大街道,109.573403,19.511799,1
木棠镇,109.35023,19.80393,1
新州镇,109.316166,19.71431,1
中和镇,109.349583,19.743857,1
峨蔓镇,109.266778,19.854773,1
排浦镇,109.163254,19.638809,1
王五镇,109.29572,19.653711,1
光村镇,109.48132,19.818101,1
和庆镇,109.640854,19.525401,1
大成镇,109.399661,19.507964,1
兰洋镇,109.664393,19.460398,1
雅星镇,109.269115,19.444076,1
三都镇,109.21922,19.786922,1
东成镇,109.461375,19.703706,1
那大镇,109.546409,19.514878,1
兰训乡,109.361149,19.859648,1
海口市,110.198286,20.044412,1
龙华区,110.328492,20.031006,1
美兰区,110.366358,20.029083,1
琼山区,110.353972,20.003169,1
秀英区,110.293603,20.007494,1
三沙市,112.338695,16.831839,1
南沙群岛,116.749997,11.471888,1
西沙群岛,111.792944,16.204546,1
中沙群岛的岛礁及其海域,117.740071,15.112855,1
三亚市,109.511772,18.253135,1
海棠区,109.752569,18.400106,1
吉阳区,109.578336,18.281406,1
天涯区,109.452378,18.298156,1
崖州区,109.171841,18.357291,1
白沙黎族自治县,109.451484,19.224823,1
细水乡,109.568501,19.206414,1
阜龙乡,109.460782,19.32259,1
邦溪镇,109.103544,19.369531,1
南开乡,109.41468,19.07781,1
七坊镇,109.24007,19.29558,1
金波乡,109.178467,19.236611,1
牙叉镇,109.445359,19.212209,1
青松乡,109.270939,19.155189,1
打安镇,109.373668,19.283887,1
荣邦乡,109.170727,19.41395,1
元门乡,109.486456,19.158071,1
保亭黎族苗族自治县,109.70259,18.63913,1
毛岸镇,109.581045,18.683945,1
三道镇,109.668672,18.464576,1
保城镇,109.703534,18.641565,1
六弓乡,109.78506,18.53984,1
什玲镇,109.78174,18.663921,1
响水镇,109.61628,18.592227,1
毛感乡,109.50901,18.613029,1
新政镇,109.628914,18.541645,1
南林乡,109.617455,18.405241,1
加茂镇,109.707284,18.55223,1
昌江黎族自治县,109.055739,19.298184,1
石碌镇,109.055809,19.27755,1
乌烈镇,108.792324,19.288577,1
七叉镇,109.05128,19.11481,1
海尾镇,108.8183,19.422,1
叉河镇,108.957345,19.238934,1
昌化镇,108.685071,19.329235,1
十月田镇,108.952224,19.328109,1
王下乡,109.150473,19.003399,1
澄迈县,110.006754,19.738521,1
加乐镇,110.00106,19.584999,1
福山镇,109.92986,19.83004,1
瑞溪镇,110.12908,19.73183,1
文儒镇,110.053169,19.53708,1
仁兴镇,109.88194,19.492539,1
永发镇,110.19532,19.747359,1
大丰镇,110.038147,19.855536,1
桥头镇,109.933531,19.954138,1
中兴镇,109.861281,19.564772,1
老城镇,110.126498,19.953144,1
金江镇,110.010187,19.736764,1
